Time,Wave Ht (ft) ECMWF,Wave Dir ECMWF,Wave Per (s) ECMWF,Wind Spd (mph) ECMWF,Wind Dir ECMWF,Current Dir ECMWF,Current Spd (mph) ECMWF
2025-06-17 11:00 AM EDT,4.76,SW,8.19,0.89,W,W,0.0
2025-06-17 12:00 PM EDT,4.72,SW,8.15,2.42,SW,W,0.0
2025-06-17 01:00 PM EDT,4.69,SW,8.11,3.94,SW,W,0.0
2025-06-17 02:00 PM EDT,4.66,SW,8.06,5.46,SW,W,0.0
2025-06-17 03:00 PM EDT,4.63,SW,7.7,5.1,SW,NW,0.0
2025-06-17 04:00 PM EDT,4.59,SW,7.34,4.74,SW,N,0.0
2025-06-17 05:00 PM EDT,4.56,SW,6.98,4.38,SW,N,0.0
2025-06-17 06:00 PM EDT,4.49,SW,6.93,3.53,SW,N,0.0
2025-06-17 07:00 PM EDT,4.46,SW,6.88,2.66,SW,NW,0.0
2025-06-17 08:00 PM EDT,4.43,SW,6.83,1.81,SW,W,0.0
2025-06-17 09:00 PM EDT,4.36,SW,6.81,1.68,NW,W,0.0
2025-06-17 10:00 PM EDT,4.33,SW,6.79,1.54,N,NW,0.0
2025-06-17 11:00 PM EDT,4.27,SW,6.77,1.41,NE,NW,0.0
2025-06-18 12:00 AM EDT,4.23,SW,6.85,1.77,E,NW,0.0
2025-06-18 01:00 AM EDT,4.17,SW,6.93,2.1,E,N,0.0
2025-06-18 02:00 AM EDT,4.13,SW,7.01,2.46,E,N,0.0
2025-06-18 03:00 AM EDT,4.07,SW,7.15,2.35,E,NE,0.0
2025-06-18 04:00 AM EDT,4.04,SW,7.28,2.26,E,E,0.0
2025-06-18 05:00 AM EDT,4.0,SW,7.42,2.15,E,SE,0.0
2025-06-18 06:00 AM EDT,3.97,SW,7.49,1.92,E,SE,0.0
2025-06-18 07:00 AM EDT,3.94,SW,7.56,1.68,SE,E,0.0
2025-06-18 08:00 AM EDT,3.87,SW,7.63,1.45,SE,E,0.0
2025-06-18 09:00 AM EDT,3.84,SW,7.66,1.72,S,E,0.0
2025-06-18 10:00 AM EDT,3.81,SW,7.69,1.99,S,NE,0.0
2025-06-18 11:00 AM EDT,3.77,SW,7.72,2.26,SW,NE,0.0
2025-06-18 12:00 PM EDT,3.74,SW,7.73,3.09,SW,N,0.0
2025-06-18 01:00 PM EDT,3.74,SW,7.74,3.89,SW,N,0.0
2025-06-18 02:00 PM EDT,3.71,SW,7.76,4.72,SW,NW,0.0
2025-06-18 03:00 PM EDT,3.67,SW,7.41,4.54,SW,NW,0.0
2025-06-18 04:00 PM EDT,3.64,SW,7.07,4.34,SW,W,0.0
2025-06-18 05:00 PM EDT,3.64,SW,6.73,4.16,SW,W,0.0
2025-06-18 06:00 PM EDT,3.61,SW,6.56,3.38,SW,SW,0.0
2025-06-18 07:00 PM EDT,3.61,SW,6.4,2.59,W,SW,0.0
2025-06-18 08:00 PM EDT,3.61,SW,6.23,1.81,W,S,0.0
2025-06-18 09:00 PM EDT,3.58,SW,6.33,1.74,SW,SW,0.0
2025-06-18 10:00 PM EDT,3.54,SW,6.43,1.66,S,SW,0.0
2025-06-18 11:00 PM EDT,3.51,SW,6.53,1.59,SE,SW,0.0
2025-06-19 12:00 AM EDT,3.48,SW,6.71,1.14,E,W,0.0
2025-06-19 01:00 AM EDT,3.44,SW,6.89,0.72,E,NW,0.0
2025-06-19 02:00 AM EDT,3.44,SW,7.08,0.27,E,N,0.0
2025-06-19 03:00 AM EDT,3.41,SW,7.19,0.51,E,NW,0.0
2025-06-19 04:00 AM EDT,3.38,SW,7.3,0.74,E,NW,0.0
2025-06-19 05:00 AM EDT,3.38,SW,7.41,0.98,E,NW,0.0
2025-06-19 06:00 AM EDT,3.35,SW,7.49,1.81,E,N,0.0
2025-06-19 07:00 AM EDT,3.31,SW,7.57,2.64,E,NE,0.0
2025-06-19 08:00 AM EDT,3.31,SW,7.65,3.47,E,E,0.0
2025-06-19 09:00 AM EDT,3.31,SW,7.51,2.55,SE,NE,0.0
2025-06-19 10:00 AM EDT,3.28,SW,7.38,1.66,S,N,0.0
2025-06-19 11:00 AM EDT,3.28,SW,7.24,0.74,SW,NW,0.0
2025-06-19 12:00 PM EDT,3.28,SW,7.39,2.01,SW,N,0.0
2025-06-19 01:00 PM EDT,3.28,SW,7.55,3.29,SW,NE,0.0
2025-06-19 02:00 PM EDT,3.28,SW,7.7,4.56,SW,E,0.0
2025-06-19 03:00 PM EDT,3.28,SW,7.69,4.38,SW,N,0.0
2025-06-19 04:00 PM EDT,3.28,SW,7.68,4.23,SW,NW,0.0
2025-06-19 05:00 PM EDT,3.28,SW,7.68,4.05,SW,W,0.0
2025-06-19 06:00 PM EDT,3.28,SW,7.6,3.0,SW,NW,0.0
2025-06-19 07:00 PM EDT,3.28,SW,7.51,1.95,SW,N,0.0
2025-06-19 08:00 PM EDT,3.28,SW,7.43,0.89,SW,NE,0.0
2025-06-19 09:00 PM EDT,3.25,SW,7.57,1.01,S,NE,0.0
2025-06-19 10:00 PM EDT,3.25,SW,7.7,1.14,SE,N,0.0
2025-06-19 11:00 PM EDT,3.25,SW,7.83,1.25,NE,N,0.0
2025-06-20 12:00 AM EDT,3.25,SW,7.75,1.39,E,NW,0.0
2025-06-20 01:00 AM EDT,3.25,SW,7.67,1.54,E,NW,0.0
2025-06-20 02:00 AM EDT,3.25,SW,7.59,1.68,E,NW,0.0
2025-06-20 03:00 AM EDT,3.28,SW,7.67,1.5,E,NW,0.0
2025-06-20 04:00 AM EDT,3.28,SW,7.76,1.34,E,NW,0.0
2025-06-20 05:00 AM EDT,3.28,SW,7.84,1.16,E,W,0.0
2025-06-20 06:00 AM EDT,3.31,SW,7.91,1.59,E,NW,0.0
2025-06-20 07:00 AM EDT,3.31,SW,7.98,1.99,E,N,0.0
2025-06-20 08:00 AM EDT,3.31,SW,8.05,2.42,E,NE,0.0
2025-06-20 09:00 AM EDT,3.35,SW,8.02,2.21,SE,NE,0.0
2025-06-20 10:00 AM EDT,3.35,SW,7.98,2.01,S,N,0.0
2025-06-20 11:00 AM EDT,3.38,SW,7.95,1.81,SW,NW,0.0
