Time,Wind Spd (mph) SG,Wind Dir SG,Gust (mph) SG,Wave Ht (ft) SG,Wave Dir SG,Wave Per (s) SG,Swell Ht (ft) SG,Swell Dir SG,Swell Per (s) SG,Sec. Swell Ht (ft) SG,Sec. Swell Dir SG,Sec. Swell Per (s) SG,Current Dir SG,Current Spd (mph) SG,Water Temp (F) SG,Wind Wave Ht (ft) SG,Wind Wave Dir SG,Wind Wave Per (s) SG
2025-06-17 11:00 AM EDT,6.24,SE,7.85,1.94,SE,4.41,1.41,SE,3.34,1.15,E,7.95,SE,0.22,80.64,0.89,S,2.18
2025-06-17 12:00 PM EDT,7.76,SE,7.4,1.94,SE,4.07,1.31,SE,4.73,1.08,E,7.91,SE,0.25,80.76,0.95,S,2.24
2025-06-17 01:00 PM EDT,9.26,SE,6.93,1.97,SE,3.73,1.21,E,6.12,1.05,E,7.87,SE,0.25,80.65,0.98,S,2.29
2025-06-17 02:00 PM EDT,10.78,SE,6.49,1.97,SE,3.39,1.12,E,7.51,0.98,E,7.83,SE,0.27,80.53,1.05,SE,2.35
2025-06-17 03:00 PM EDT,11.52,SE,9.01,2.0,SE,3.31,1.12,E,7.52,0.98,E,7.82,SE,0.29,80.56,1.31,SE,2.52
2025-06-17 04:00 PM EDT,12.28,SE,11.56,2.0,SE,3.24,1.12,E,7.52,1.02,E,7.8,SE,0.29,80.6,1.54,SE,2.7
2025-06-17 05:00 PM EDT,13.02,SE,14.09,2.03,SE,3.16,1.12,E,7.53,1.02,E,7.79,S,0.31,80.53,1.8,SE,2.87
2025-06-17 06:00 PM EDT,13.96,SE,15.59,2.2,SE,3.13,1.12,E,7.54,0.82,E,6.98,SE,0.31,80.38,2.0,SE,2.98
2025-06-17 07:00 PM EDT,14.9,SE,17.11,2.33,SE,3.09,1.12,E,7.55,0.59,NE,6.16,SE,0.29,80.26,2.17,SE,3.08
2025-06-17 08:00 PM EDT,15.84,SE,18.61,2.49,SE,3.06,1.12,E,7.56,0.39,NE,5.35,SE,0.29,80.15,2.36,SE,3.19
2025-06-17 09:00 PM EDT,15.77,SE,16.98,2.59,SE,3.1,1.15,E,6.37,0.36,NE,6.05,SE,0.29,80.04,2.46,SE,3.25
2025-06-17 10:00 PM EDT,15.7,S,15.32,2.69,SE,3.14,1.21,E,5.18,0.3,NE,6.75,SE,0.29,79.93,2.59,SE,3.3
2025-06-17 11:00 PM EDT,15.64,S,13.69,2.79,SE,3.18,1.25,E,3.99,0.26,NE,7.45,SE,0.29,79.77,2.69,SE,3.36
2025-06-18 12:00 AM EDT,14.16,S,14.27,2.72,SE,3.23,1.41,E,3.95,0.49,E,7.56,SE,0.29,79.61,2.49,S,3.27
2025-06-18 01:00 AM EDT,12.68,S,14.88,2.66,SE,3.29,1.61,SE,3.91,0.72,E,7.68,SE,0.31,79.48,2.3,S,3.18
2025-06-18 02:00 AM EDT,11.21,S,15.46,2.56,SE,3.34,1.77,SE,3.87,0.95,E,7.79,SE,0.31,79.36,2.1,S,3.09
2025-06-18 03:00 AM EDT,10.58,S,16.08,2.46,SE,3.38,1.67,SE,3.76,0.95,E,7.82,SE,0.31,79.23,2.0,S,3.01
2025-06-18 04:00 AM EDT,9.95,S,16.69,2.36,SE,3.41,1.54,SE,3.66,0.98,E,7.85,SE,0.29,79.12,1.87,S,2.93
2025-06-18 05:00 AM EDT,9.33,S,17.29,2.23,SE,3.45,1.44,SE,3.55,0.98,E,7.88,SE,0.29,79.0,1.77,S,2.85
2025-06-18 06:00 AM EDT,9.13,S,17.09,2.17,SE,3.45,1.54,SE,3.5,0.98,E,7.88,SE,0.29,78.89,1.48,S,2.63
2025-06-18 07:00 AM EDT,8.93,S,16.87,2.1,SE,3.45,1.67,SE,3.46,1.02,E,7.89,SE,0.29,78.84,1.21,S,2.41
2025-06-18 08:00 AM EDT,8.72,S,16.67,2.03,SE,3.45,1.77,SE,3.41,1.02,E,7.89,SE,0.29,78.84,0.92,S,2.19
2025-06-18 09:00 AM EDT,8.81,S,13.09,2.0,SE,3.54,1.71,SE,3.38,1.02,E,7.92,SE,0.29,78.94,0.79,S,2.08
2025-06-18 10:00 AM EDT,8.88,S,9.51,1.94,SE,3.63,1.61,SE,3.35,1.02,E,7.94,SE,0.31,79.14,0.66,S,1.98
2025-06-18 11:00 AM EDT,8.97,SE,5.91,1.9,SE,3.71,1.54,SE,3.32,1.02,E,7.97,SE,0.31,79.25,0.52,S,1.87
2025-06-18 12:00 PM EDT,10.42,SE,6.17,1.97,SE,3.51,1.38,SE,4.76,0.75,E,7.76,SE,0.34,79.18,0.75,S,2.08
2025-06-18 01:00 PM EDT,11.88,SE,6.44,2.0,SE,3.31,1.18,E,6.21,0.49,NE,7.56,SE,0.34,79.12,0.98,SE,2.29
2025-06-18 02:00 PM EDT,13.33,SE,6.71,2.07,SE,3.11,1.02,E,7.65,0.23,NE,7.35,SE,0.36,79.2,1.21,SE,2.5
2025-06-18 03:00 PM EDT,14.41,SE,8.86,2.17,SE,3.1,1.08,E,7.44,0.23,NE,7.33,SE,0.36,79.25,1.48,SE,2.63
2025-06-18 04:00 PM EDT,15.48,SE,11.01,2.3,SE,3.09,1.12,E,7.24,0.23,NE,7.32,SE,0.38,79.21,1.71,SE,2.77
2025-06-18 05:00 PM EDT,16.55,SE,13.13,2.4,SE,3.07,1.18,E,7.03,0.23,NE,7.3,SE,0.38,79.12,1.97,SE,2.9
2025-06-18 06:00 PM EDT,16.46,SE,16.44,2.49,SE,3.1,1.18,E,7.08,0.49,NE,7.46,SE,0.38,79.02,2.1,SE,2.97
2025-06-18 07:00 PM EDT,16.35,SE,19.75,2.62,SE,3.12,1.15,E,7.14,0.72,E,7.61,SE,0.36,78.94,2.2,SE,3.04
2025-06-18 08:00 PM EDT,16.26,SE,23.06,2.72,SE,3.14,1.15,E,7.19,0.98,E,7.77,SE,0.36,78.85,2.33,SE,3.11
2025-06-18 09:00 PM EDT,16.33,SE,21.88,2.79,SE,3.18,1.12,E,6.12,0.89,E,7.83,SE,0.36,78.75,2.33,SE,3.14
2025-06-18 10:00 PM EDT,16.37,SE,20.67,2.82,SE,3.22,1.08,E,5.04,0.79,E,7.9,SE,0.34,78.67,2.33,SE,3.16
2025-06-18 11:00 PM EDT,16.44,SE,19.46,2.89,SE,3.26,1.05,E,3.97,0.69,E,7.96,SE,0.34,78.6,2.33,SE,3.19
2025-06-19 12:00 AM EDT,15.59,S,20.0,2.85,SE,3.27,1.15,E,3.97,0.79,E,7.94,SE,0.36,78.55,2.33,SE,3.19
2025-06-19 01:00 AM EDT,14.76,S,20.56,2.85,SE,3.27,1.28,E,3.96,0.92,E,7.92,SE,0.36,78.51,2.33,SE,3.18
2025-06-19 02:00 AM EDT,13.91,S,21.09,2.82,SE,3.28,1.38,E,3.96,1.02,E,7.9,SE,0.38,78.46,2.33,SE,3.18
2025-06-19 03:00 AM EDT,12.75,S,19.39,2.72,SE,3.31,1.64,SE,3.85,1.05,E,7.89,SE,0.38,78.4,1.94,S,2.92
2025-06-19 04:00 AM EDT,11.61,S,17.72,2.59,SE,3.34,1.9,SE,3.73,1.05,E,7.89,SE,0.38,78.35,1.51,S,2.65
2025-06-19 05:00 AM EDT,10.45,S,16.02,2.46,SE,3.37,2.17,SE,3.62,1.08,E,7.88,SE,0.38,78.3,1.12,S,2.39
2025-06-19 06:00 AM EDT,9.69,S,13.98,2.36,SE,3.44,2.1,SE,3.59,1.08,E,7.86,SE,0.38,78.24,0.95,S,2.22
2025-06-19 07:00 AM EDT,8.9,S,11.95,2.23,SE,3.5,2.0,SE,3.55,1.05,E,7.84,SE,0.36,78.22,0.75,S,2.04
2025-06-19 08:00 AM EDT,8.14,S,9.91,2.13,SE,3.57,1.94,SE,3.52,1.05,E,7.82,SE,0.36,78.26,0.59,S,1.87
2025-06-19 09:00 AM EDT,7.58,S,7.96,2.07,SE,3.69,1.84,SE,3.55,1.05,E,7.81,SE,0.38,78.44,0.59,S,1.88
2025-06-19 10:00 AM EDT,7.05,S,6.04,2.0,SE,3.82,1.74,SE,3.59,1.05,E,7.79,SE,0.38,79.03,0.59,S,1.9
2025-06-19 11:00 AM EDT,6.49,SE,4.09,1.94,SE,3.94,1.64,SE,3.62,1.05,E,7.78,SE,0.4,79.36,0.59,S,1.91
2025-06-19 12:00 PM EDT,8.99,SE,4.83,1.97,SE,3.67,1.54,SE,3.7,0.79,E,7.5,SE,0.43,79.66,0.72,S,2.03
2025-06-19 01:00 PM EDT,11.48,SE,5.55,2.03,SE,3.4,1.48,SE,3.78,0.49,NE,7.21,SE,0.43,79.66,0.85,SE,2.15
2025-06-19 02:00 PM EDT,13.98,SE,6.26,2.1,SE,3.12,1.38,SE,3.86,0.23,NE,6.93,SE,0.45,79.61,0.98,SE,2.27
2025-06-19 03:00 PM EDT,13.94,SE,8.84,2.17,SE,3.1,1.38,E,4.06,0.46,E,7.22,SE,0.45,79.68,1.18,SE,2.39
2025-06-19 04:00 PM EDT,13.89,SE,11.39,2.23,SE,3.08,1.41,E,4.27,0.69,E,7.52,SE,0.45,79.66,1.38,SE,2.52
2025-06-19 05:00 PM EDT,13.85,SE,13.96,2.3,SE,3.05,1.41,E,4.47,0.92,E,7.81,SE,0.45,79.48,1.57,SE,2.64
2025-06-19 06:00 PM EDT,13.27,SE,14.38,2.26,SE,3.07,1.35,E,4.56,0.82,E,7.78,SE,0.43,79.32,1.61,S,2.66
2025-06-19 07:00 PM EDT,12.66,S,14.83,2.23,SE,3.1,1.31,E,4.64,0.69,E,7.75,SE,0.43,79.3,1.67,S,2.69
2025-06-19 08:00 PM EDT,12.08,S,15.28,2.2,SE,3.12,1.25,SE,4.73,0.59,NE,7.72,SE,0.4,78.71,1.71,S,2.71
2025-06-19 09:00 PM EDT,10.51,S,15.64,2.17,SE,3.27,1.41,SE,4.39,0.59,NE,7.77,SE,0.38,78.6,1.44,S,2.55
2025-06-19 10:00 PM EDT,8.93,SW,15.99,2.1,SE,3.42,1.61,SE,4.06,0.56,NE,7.83,SE,0.38,78.57,1.18,S,2.38
2025-06-19 11:00 PM EDT,7.36,SW,16.35,2.03,SE,3.56,1.77,SE,3.72,0.56,NE,7.88,SE,0.36,78.57,0.92,S,2.22
2025-06-20 12:00 AM EDT,6.76,SW,14.67,2.03,SE,3.67,1.8,SE,3.64,0.72,E,7.87,SE,0.36,78.58,0.75,SW,2.06
2025-06-20 01:00 AM EDT,6.17,SW,13.0,2.0,SE,3.78,1.84,SE,3.57,0.92,E,7.85,SE,0.36,78.57,0.59,SW,1.9
2025-06-20 02:00 AM EDT,5.57,SW,11.32,2.0,SE,3.9,1.87,SE,3.49,1.08,E,7.84,SE,0.36,78.53,0.43,SW,1.74
2025-06-20 03:00 AM EDT,7.47,W,11.48,2.0,SE,3.72,1.64,SE,4.02,1.08,E,7.83,SE,0.36,78.48,0.49,SW,1.77
2025-06-20 04:00 AM EDT,9.35,W,11.63,1.97,SE,3.55,1.38,SE,4.56,1.12,E,7.83,SE,0.34,78.37,0.56,SW,1.81
2025-06-20 05:00 AM EDT,11.25,NW,11.79,1.97,SE,3.37,1.15,E,5.09,1.12,E,7.82,SE,0.34,78.26,0.62,SW,1.84
2025-06-20 06:00 AM EDT,8.84,W,10.11,1.94,SE,3.58,1.25,SE,4.68,1.12,E,7.81,SE,0.34,78.17,0.52,SW,1.78
2025-06-20 07:00 AM EDT,6.4,W,8.43,1.87,SE,3.8,1.38,SE,4.27,1.12,E,7.79,SE,0.34,78.06,0.46,SW,1.72
2025-06-20 08:00 AM EDT,3.98,SW,6.73,1.84,SE,4.01,1.48,SE,3.86,1.12,E,7.78,SE,0.34,78.1,0.36,SW,1.66
2025-06-20 09:00 AM EDT,4.34,SW,6.15,1.8,SE,4.14,1.54,SE,4.22,1.12,E,7.76,SE,0.34,78.31,0.23,SW,1.11
2025-06-20 10:00 AM EDT,4.72,SW,5.57,1.77,SE,4.27,1.57,SE,4.58,1.12,E,7.73,SE,0.36,78.53,0.13,SW,0.55
2025-06-20 11:00 AM EDT,5.08,SW,4.99,1.77,SE,4.39,1.64,SE,4.94,1.12,E,7.71,S,0.36,78.85,0.0,SW,0.0
